51486: primal, delay is 192.38734356979523
53151: aether, delay is 129.6604193814286
20875: primal, delay is 195.09599095476193
32766: gaia, delay is 136.0832817626527
54481: gaia, delay is 164.86338297057395
55815: gaia, delay is 146.3645276899521
22522: chaos, delay is 96.55550317380948
14766: chaos, delay is 105.4773485745088
15238: chaos, delay is 98.91566104285711
15269: chaos, delay is 199.0821178833334
35631: chaos, delay is 287.071286145989
52540: chaos, delay is 98.40577388347661
34154: chaos, delay is 53.315860855721354
2494: chaos, delay is 77.39071239444714
6128: chaos, delay is 136.90060741761903
